date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:11:57	3403/3403	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22e128dfbca008928451ec0b75e4413f1d%22	https://xpovio-ltr.vercel.app/robots.txt		(from )
22:11:58	50793/50793	---MCZ	200	added ('OK')	text/html	etag:W/%22d562535820b5d18015c5da8f59caac6c%22	https://xpovio-ltr.vercel.app/?storefront=envato-elements	C:/Users/Azeem/Documents/test/xpovio-ltr.vercel.app/index04b9.html	(from )
22:11:58	288/288	---M--	200	added ('OK')	image/png	etag:%22fefb0b211d68d97d1d8a295d051e7743%22	https://xpovio-ltr.vercel.app/images/favicon.png	C:/Users/Azeem/Documents/test/xpovio-ltr.vercel.app/images/favicon.png	(from https://xpovio-ltr.vercel.app/?storefront=envato-elements)
22:11:58	862642/862642	---MCZ	200	added ('OK')	text/css	etag:W/%226cdec9572499a7e7160bed95703c2f8b%22	https://xpovio-ltr.vercel.app/_next/static/css/657a5aa87bba5cd5.css	C:/Users/Azeem/Documents/test/xpovio-ltr.vercel.app/_next/static/css/657a5aa87bba5cd5.css	(from https://xpovio-ltr.vercel.app/?storefront=envato-elements)
22:11:58	18147/18147	---MCZ	200	added ('OK')	text/css	etag:W/%221a0912ea6d4fb0cdc3b6f99cc60e91a1%22	https://xpovio-ltr.vercel.app/_next/static/css/c65208ab91603cc0.css	C:/Users/Azeem/Documents/test/xpovio-ltr.vercel.app/_next/static/css/c65208ab91603cc0.css	(from https://xpovio-ltr.vercel.app/?storefront=envato-elements)
22:11:59	50793/50793	---MCZ	200	added ('OK')	text/html	etag:W/%22d562535820b5d18015c5da8f59caac6c%22	https://xpovio-ltr.vercel.app/	C:/Users/Azeem/Documents/test/xpovio-ltr.vercel.app/index.html	(from https://xpovio-ltr.vercel.app/?storefront=envato-elements)
22:11:59	91381/91381	---MCZ	200	added ('OK')	application/javascript	etag:W/%2279330112775102f91e1010318bae2bd3%22	https://xpovio-ltr.vercel.app/_next/static/chunks/polyfills-78c92fac7aa8fdd8.js	C:/Users/Azeem/Documents/test/xpovio-ltr.vercel.app/_next/static/chunks/polyfills-78c92fac7aa8fdd8.js	(from https://xpovio-ltr.vercel.app/?storefront=envato-elements)
22:11:59	1445/1445	---MCZ	200	added ('OK')	application/javascript	etag:W/%22b4d74d8172c538de81a3972cb36bb280%22	https://xpovio-ltr.vercel.app/_next/static/chunks/webpack-b8f8d6679aaa5f42.js	C:/Users/Azeem/Documents/test/xpovio-ltr.vercel.app/_next/static/chunks/webpack-b8f8d6679aaa5f42.js	(from https://xpovio-ltr.vercel.app/?storefront=envato-elements)
22:11:59	141016/141016	---MCZ	200	added ('OK')	application/javascript	etag:W/%22fb527e07c24685aa3fb6938c6c4ca068%22	https://xpovio-ltr.vercel.app/_next/static/chunks/framework-63157d71ad419e09.js	C:/Users/Azeem/Documents/test/xpovio-ltr.vercel.app/_next/static/chunks/framework-63157d71ad419e09.js	(from https://xpovio-ltr.vercel.app/?storefront=envato-elements)
22:12:00	102363/102363	---MCZ	200	added ('OK')	application/javascript	etag:W/%22875bb5a68578a58689c6bf01be8f838f%22	https://xpovio-ltr.vercel.app/_next/static/chunks/main-c6c319de9f7d0316.js	C:/Users/Azeem/Documents/test/xpovio-ltr.vercel.app/_next/static/chunks/main-c6c319de9f7d0316.js	(from https://xpovio-ltr.vercel.app/?storefront=envato-elements)
